key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
341649643_16,341649643,16,1873.08,4398.76,1,7.48966,0,False,,,,,,,,,,,,,,,,,,,,,,
341649643_17,341649643,17,1877.49,2996.14,16,16.5248,1,True,True,19.825,120.445,9.15722,flare_decay,True,True,True,True,True,True,0.45712,0.792595,,,True,True,True,True,,True,
341649643_18,341649643,18,1891.95,758.183,16,4.18164,0,True,,,,,,,,,,,,,,,,,,,,,,
341649643_19,341649643,19,1879.81,20349.9,1,34.6492,1,False,True,37.4739,175.66,2.4099,flare_decay,True,True,True,True,True,True,2.19933,0.67865,0.999999,0,True,True,True,True,,True,False
355126793_0,355126793,0,1894.89,5897.2,4,9.2529,1,False,True,8.79805,18.3476,-7.58073,step,False,True,True,True,True,True,0.687232,1.1118,,,True,False,True,True,,True,
355126793_1,355126793,1,1897.29,2052.33,16,6.15099,0,True,,,,,,,,,,,,,,,,,,,,,,
355126793_2,355126793,2,1892.12,13594,24,55.4198,1,True,True,44.2427,572.047,74.4545,flare_decay,True,True,True,True,True,True,1.24903,0.949339,,,True,True,True,True,,True,
355126793_3,355126793,3,1873.85,50000,1,40.3843,1,False,True,25.0671,8.7445,549.301,flare_decay,False,True,True,True,True,True,0.916222,0.59116,,,False,False,True,True,,True,
355126793_4,355126793,4,1877.35,9174.08,2,10.3611,1,False,True,8.58008,10.3572,-5.65455,flare_decay,True,True,True,True,True,True,0.881928,0.969953,,,True,False,True,True,,True,
355126793_5,355126793,5,1878.06,19404.6,8,39.0586,1,True,True,37.6107,274.537,2.541,flare_decay,True,True,True,True,True,True,1.37769,0.974398,,,True,True,True,True,,True,
355126793_6,355126793,6,1882.47,3229.4,4,5.06703,0,False,,,,,,,,,,,,,,,,,,,,,,
355126793_7,355126793,7,1890.87,19530.5,8,39.3119,1,True,True,39.495,235.864,38.3562,flare_decay,True,True,True,True,True,True,0.822765,0.943974,,,True,True,True,True,True,True,
355126793_8,355126793,8,1873.62,6627.14,1,5.35265,0,False,,,,,,,,,,,,,,,,,,,,,,
355126793_9,355126793,9,1880.68,23995.3,8,48.299,1,True,True,47.1341,957.918,75.6265,flare_decay,True,True,True,True,True,True,0.905735,0.981208,,,True,True,True,True,True,True,
355126793_10,355126793,10,1878.95,2974.23,8,5.98668,0,True,,,,,,,,,,,,,,,,,,,,,,
355126793_11,355126793,11,1881.6,40938.1,2,46.2351,1,False,True,46.5808,291.682,-33.588,flare_decay,False,True,True,True,True,True,1.18369,0.906552,,,True,False,True,True,,True,
355126793_12,355126793,12,1892.2,3555.75,4,5.5791,0,False,,,,,,,,,,,,,,,,,,,,,,
355126793_13,355126793,13,1896.83,14195.5,2,16.0323,1,False,True,16.4668,16.8758,-3.88948,flare_decay,True,True,True,True,True,True,0.77848,0.917579,,,True,False,True,True,,True,
355126793_14,355126793,14,1876.47,4402.74,8,8.86205,1,True,True,9.28033,12.2254,-1.3503,step,True,True,True,True,True,True,1.13745,1.20561,0.0668546,2.92686e-10,True,True,True,True,True,True,True
