key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
202293411_19,202293411,19,2620.54,26428.2,2,41.4434,1,False,True,41.8723,299.189,8.34302,flare_decay,True,True,True,True,True,True,0.829087,0.957863,,,True,False,True,True,,True,
202351450_0,202351450,0,2616.47,3066.84,16,25.7627,1,True,True,25.7207,96.4119,-0.913127,step,True,True,True,True,True,True,0.637879,0.879993,,,True,True,True,True,,True,
202351450_1,202351450,1,2620.33,2836.49,16,23.8277,1,True,True,23.7673,99.2172,7.5618,flare_decay,True,True,True,True,True,True,0.499441,0.776898,,,True,True,True,True,True,True,
202351450_2,202351450,2,2612.34,1894.25,2,4.75651,0,False,,,,,,,,,,,,,,,,,,,,,,
202351450_3,202351450,3,2611.84,11344.9,4,44.6127,1,True,True,44.5876,255.885,10.7789,flare_decay,True,True,True,True,True,True,0.833882,0.92964,,,True,True,True,True,,True,
202351450_4,202351450,4,2628.21,1230.51,4,4.83886,0,True,,,,,,,,,,,,,,,,,,,,,,
202351450_5,202351450,5,2632.41,8380.59,4,32.9557,1,True,True,30.4621,137.303,4.89902,flare_decay,True,True,True,True,True,True,1.3572,0.900162,0.00221451,0,True,True,True,True,,True,True
202351450_6,202351450,6,2618.39,13314.3,1,23.3838,1,False,True,23.5512,75.4974,0.765929,flare_decay,True,True,True,True,True,True,1.09505,0.84227,,,True,False,True,True,,True,
202351450_7,202351450,7,2610.44,276.814,24,3.13221,0,True,,,,,,,,,,,,,,,,,,,,,,
202351450_8,202351450,8,2625.97,1928.9,4,7.58519,1,True,True,7.9357,-0.95542,-5.47725,step,False,True,True,True,True,True,0.706229,1.14573,,,False,True,True,True,,True,
202351450_9,202351450,9,2610.39,489.763,24,5.54178,0,True,,,,,,,,,,,,,,,,,,,,,,
202351450_10,202351450,10,2635.84,4126.94,1,7.24809,0,False,,,,,,,,,,,,,,,,,,,,,,
202351450_11,202351450,11,2610.59,3970.58,8,23.6115,1,True,True,20.3602,58.1439,-3.16626,step,True,False,True,True,True,True,0.91958,0.919027,,,True,True,True,True,True,True,
202351450_12,202351450,12,2613.47,13990.9,2,35.1315,1,False,True,33.315,150.88,-14.2314,flare_decay,False,True,True,True,True,True,0.814506,0.879014,,,True,False,True,True,,True,
202351450_13,202351450,13,2626.24,2690.84,1,4.72589,0,False,,,,,,,,,,,,,,,,,,,,,,
202351450_14,202351450,14,2613.26,7273.49,8,43.2525,1,True,True,40.2853,189.064,11.1982,flare_decay,True,True,True,True,True,True,0.708248,0.815962,,,True,True,True,True,,True,
202351450_15,202351450,15,2611.69,1284.91,16,10.7938,1,True,True,11.6596,10.8577,-5.46918,flare_decay,True,True,True,True,True,True,0.842161,1.2521,,,True,True,True,True,True,True,
202351450_16,202351450,16,2632.22,4874.55,16,40.9483,1,True,True,39.0683,112.871,2.51272,flare_decay,True,True,True,True,True,True,0.689719,0.882294,,,True,True,True,True,,True,
202351450_17,202351450,17,2633.28,4058.57,24,45.9236,1,True,True,37.1938,242.211,14.8466,flare_decay,True,True,True,True,True,True,0.705615,0.876755,,,True,True,True,True,,True,
202351450_18,202351450,18,2615.63,4283.55,8,25.4725,1,True,True,24.2324,110.81,-6.57684,flare_decay,False,True,True,True,True,True,0.655194,0.835838,,,True,True,True,True,True,True,
202351450_19,202351450,19,2614.53,572.075,8,3.4019,0,True,,,,,,,,,,,,,,,,,,,,,,
219100883_0,219100883,0,2635.33,8967.14,4,54.8447,1,True,True,55.4775,451.466,33.4426,flare_decay,True,True,True,True,True,True,0.765349,0.928095,,,True,True,True,True,,True,
219100883_1,219100883,1,2628.92,1156.93,16,16.208,1,True,True,14.726,14.0094,4.58141,flare_decay,True,True,True,True,True,True,0.717743,1.10625,,,True,True,True,True,,True,
219100883_2,219100883,2,2621.43,3294.41,2,14.6674,1,False,True,15.5091,46.1012,-0.799551,flare_decay,True,True,True,True,True,True,0.950549,1.011,,,True,False,True,True,,True,
219100883_3,219100883,3,2621.45,449.865,8,4.08697,0,True,,,,,,,,,,,,,,,,,,,,,,
219100883_4,219100883,4,2611.47,1107.58,4,6.77413,0,True,,,,,,,,,,,,,,,,,,,,,,
219100883_5,219100883,5,2629.48,518.951,16,7.27023,0,True,,,,,,,,,,,,,,,,,,,,,,
219100883_6,219100883,6,2628.52,2393.78,2,10.6577,1,False,True,10.1731,18.0732,-6.74967,flare_decay,False,True,True,True,True,True,0.554582,0.953196,,,True,False,True,True,,True,
219100883_7,219100883,7,2631.33,11379.4,2,50.6635,1,False,True,49.0856,309.588,-1.50343,flare_decay,True,True,True,True,True,True,0.754225,0.897865,,,True,False,True,True,,True,
219100883_8,219100883,8,2627.34,529.072,8,4.80656,0,True,,,,,,,,,,,,,,,,,,,,,,
219100883_9,219100883,9,2611.16,3667.64,8,33.3201,1,True,True,14.6113,-7.43257,28.7332,step,False,False,True,True,True,True,1.57578,0.947331,,,False,True,True,True,,True,
219100883_10,219100883,10,2627.49,968.927,16,13.5742,1,True,True,13.102,-0.067539,-6.93165,step,False,True,True,True,True,True,0.914948,1.13546,,,False,True,True,True,,True,
